Mike,0.07,0.02,0.51,0.67,0.17,3.60
Kiri,-0.41,-0.07,0.50,0.50,0.13,2.26
Ollie,0.39,-0.23,0.52,0.67,0.08,2.85
Joe,0.71,-0.32,0.59,0.75,0.08,3.31
Bobby,-0.55,0.34,0.40,0.42,0.08,1.86
Ben,-0.24,-0.06,0.50,0.58,0.17,3.04
Kenley,-0.49,0.11,0.47,0.33,0.08,1.58
Jack,0.07,0.18,0.43,0.33,0.08,2.19
Dave,0.30,-0.04,0.52,0.67,0.08,2.95
Andy,0.15,-0.20,0.56,0.67,0.08,2.67
TJ,-0.05,0.19,0.44,0.33,0.00,1.24
Eric,0.06,0.09,0.50,0.00,0.00,0.64
