Andy,5,9,,1253,1347,-9.44,-2.73,0,0,1,2013
Ben,8,6,,1489,1361,7.42,-1.73,1,1,1,2013
Bobby,7,7,,1374,1394,-0.79,0.63,0,0,1,2013
Dave,7,7,,1376,1341,-0.65,-3.16,0,0,1,2013
Eric,7,7,,1464,1506,5.64,8.63,0,0,1,2013
Jack,5,9,,1325,1495,-4.29,7.84,0,0,1,2013
Joe,7,7,,1340,1334,-3.22,-3.66,1,0,1,2013
Kenley,7,7,,1319,1404,-4.72,1.34,0,0,1,2013
Kiri,,,,,,,,,,0,2013
Mike,8,6,,1465,1441,5.71,3.99,1,0,1,2013
Ollie,9,5,,1446,1229,4.35,-11.16,1,0,1,2013
TJ,,,,,,,,,,0,2013
Andy,7,6,,1125,1197,-4.38,1.15,0,0,1,2014
Ben,9,4,,1183,1110,0.08,-5.54,1,0,1,2014
Bobby,5,8,,1038,1232,-11.08,3.85,0,0,1,2014
Dave,9,4,,1345,1152,12.54,-2.31,1,0,1,2014
Eric,,,,,,,,,,0,2014
Jack,5,8,,1213,1226,2.38,3.38,0,0,1,2014
Joe,3,10,,1111,1227,-5.46,3.46,0,0,1,2014
Kenley,6,7,,1110,1229,-5.54,3.62,0,0,1,2014
Kiri,,,,,,,,,,0,2014
Mike,8,5,,1301,1082,9.15,-7.69,1,1,1,2014
Ollie,5,8,,1096,1133,-6.62,-3.77,0,0,1,2014
TJ,8,5,,1298,1232,8.92,3.85,1,0,1,2014
Andy,6,7,,1086,1141,-7.03,-2.80,0,0,1,2015
Ben,3,10,,975,1195,-15.57,1.35,0,0,1,2015
Bobby,8,3,2,1434,1196,19.74,1.43,1,0,1,2015
Dave,4,9,,1110,1149,-5.18,-2.18,0,0,1,2015
Eric,,,,,,,,,,0,2015
Jack,7,5,1,1155,1167,-1.72,-0.80,0,0,1,2015
Joe,7,6,,1281,1143,7.97,-2.65,0,0,1,2015
Kenley,7,6,,1145,1155,-2.49,-1.72,1,1,1,2015
Kiri,,,,,,,,,,0,2015
Mike,7,5,1,1368,1246,14.66,5.28,1,0,1,2015
Ollie,8,5,,1103,1103,-5.72,-5.72,1,0,1,2015
TJ,6,7,,1117,1279,-4.65,7.82,0,0,1,2015
Andy,10,3,,1425.7,1417.3,1.56,0.92,1,0,1,2016
Ben,5,8,,1369,1401.6,-2.80,-0.29,0,0,1,2016
Bobby,7,6,,1429.1,1390.3,1.82,-1.16,1,1,1,2016
Dave,6,7,,1476.5,1424.3,5.47,1.45,1,0,1,2016
Eric,,,,,,,,,,0,2016
Jack,3,10,,1308.9,1535.6,-7.42,10.02,0,0,1,2016
Joe,8,5,,1501.6,1401.3,7.40,-0.32,1,0,1,2016
Kenley,10,3,,1404.8,1320.3,-0.04,-6.55,1,0,1,2016
Kiri,,,,,,,,,,0,2016
Mike,8,5,,1429.5,1359.7,1.86,-3.52,1,0,1,2016
Ollie,5,8,,1420.8,1305.2,1.19,-7.71,0,0,1,2016
TJ,3,10,,1287.9,1498.4,-9.04,7.15,0,0,1,2016
Andy,7,6,,1258.5,1253.2,-5.21,-5.62,1,0,1,2017
Ben,4,9,,1226.6,1326.2,-7.67,-0.01,0,0,1,2017
Bobby,3,10,,1200.6,1382.2,-9.67,4.30,0,0,1,2017
Dave,7,6,,1380.7,1320.6,4.19,-0.44,1,0,1,2017
Eric,,,,,,,,,,0,2017
Jack,7,6,,1427.8,1343,7.81,1.28,1,0,1,2017
Joe,6,7,,1357.9,1375.5,2.43,3.78,0,0,1,2017
Kenley,8,5,,1355.8,1317.8,2.27,-0.65,1,0,1,2017
Kiri,4,9,,1185.1,1408.2,-10.86,6.30,0,0,1,2017
Mike,9,4,,1291.9,1282.9,-2.64,-3.34,1,0,1,2017
Ollie,10,3,,1577.8,1253.4,19.35,-5.61,1,1,1,2017
TJ,,,,,,,,,,0,2017
Andy,5,8,,1492.4,1545.3,-0.03,4.04,0,0,1,2018
Ben,9,4,,1464.6,1519.1,-2.17,2.02,1,0,1,2018
Bobby,4,9,,1155.6,1490,-25.94,-0.22,0,0,1,2018
Dave,9,4,,1687.3,1532.6,14.96,3.06,1,1,1,2018
Eric,,,,,,,,,,0,2018
Jack,7,6,,1520.3,1396.8,2.11,-7.38,1,0,1,2018
Joe,8,5,,1601.9,1456.8,8.39,-2.77,1,0,1,2018
Kenley,5,8,,1337,1506.5,-11.99,1.05,0,0,1,2018
Kiri,7,6,,1605.9,1477.7,8.70,-1.16,1,0,1,2018
Mike,6,7,,1493.2,1486.7,0.03,-0.47,1,0,1,2018
Ollie,5,8,,1569.9,1516.5,5.93,1.82,0,0,1,2018
TJ,,,,,,,,,,0,2018
Andy,7,6,0,1556.22,1423.04,9.63,-0.61,1,0,1,2019
Ben,8,5,0,1589.02,1454.4,12.16,1.80,1,0,1,2019
