Team,w,l,t,PF,PA,F-average,A-average,playoffs?,championship,Season
Joe,6,7,,1357.9,1375.5,2.43,3.78,0,0,2017
Bobby,3,10,,1200.6,1382.2,-9.67,4.30,0,0,2017
Eric,,,,,,,,,,2017
TJ,,,,,,,,,,2017
Kiri,4,9,,1185.1,1408.2,-10.86,6.30,0,0,2017
Andy,5,8,,1492.4,1545.3,-0.03,4.04,0,0,2018
Ollie,5,8,,1569.9,1516.5,5.93,1.82,0,0,2018
Kenley,5,8,,1337,1506.5,-11.99,1.05,0,0,2018
Bobby,4,9,,1155.6,1490,-25.94,-0.22,0,0,2018
Eric,,,,,,,,,,2018
TJ,,,,,,,,,,2018
Dave,5,8,0,1457.24,1464.96,2.02,2.61,0,0,2019
Kenley,4,9,0,1297.42,1511.76,-10.27,6.21,0,0,2019
Bobby,3,10,0,1299.58,1516.1,-10.11,6.55,0,0,2019
Jack,3,10,0,1341.1,1555.46,-6.91,9.58,0,0,2019
Eric,,,,,,,,,,2019
TJ,,,,,,,,,,2019
Mike,5,8,,1374.98,1443.58,-0.63,-3.89,0,0,2020
Kenley,5,8,,1261.1,1356.4,-7.35,-10.63,0,0,2020
Ben,2,11,,1098.46,1418.6,-19.87,-5.84,0,0,2020
Eric,,,,,,,,,,2020
TJ,,,,,,,,,,2020
Kiri,6,7,,1247.48,1484.14,-3.82,1.17,0,0,2020
Mike,6,8,,1531.94,1612.26,4.26,3.47,0,0,2021
Ollie,6,8,,1565.42,1607.08,8.01,4.52,0,0,2021
Kenley,4,10,,1433.16,1478.8,-1.44,-4.65,0,0,2021
Jack,6,8,,1553.24,1552.84,11.03,3.38,0,0,2021
Eric,,,,,,,,,,2021
TJ,,,,,,,,,,2021
Mike,5,9,,1499.8,1534.3,6.74,-3.15,0,0,2022
Dave,5,9,,1336.86,1505.3,-4.90,-5.22,0,0,2022
Jack,5,9,,1458.34,1576.2,-0.99,0.89,0,0,2022
Eric,,,,,,,,,,2022
TJ,,,,,,,,,,2022
Kiri,5,9,,1399.22,1642.99,-5.22,5.66,0,0,2022
Kenley,6,8,,1419.74,1655.84,-0.32,3.74,0,0,2023
Ben,7,7,,1416.44,1506.94,-0.55,-6.90,0,0,2023
Bobby,2,12,,1320.4,1672.64,-5.18,6.29,0,0,2023
Eric,,,,,,,,,,2023
TJ,,,,,,,,,,2023
Kiri,5,9,,1393.24,1533.26,-0.88,-3.23,0,0,2023
Mike,5,9,,1399.48,1583.02,-5.63,-3.48,0,0,2024
Kenley,5,9,,1586.72,1657.02,8.96,3.21,0,0,2024
Bobby,4,10,,1410.36,1601.94,-1.74,-0.27,0,0,2024
Jack,4,10,,1516.64,1684.84,5.85,5.66,0,0,2024
Eric,,,,,,,,,,2024
TJ,,,,,,,,,,2024
